Activity,Overall Risk Scoring,Under 10,10 to 18,18 to 19,20 to 29,30 to 49 years,50 to 69 years,70 years and older,Reference 1 ,Reference 2,Reference 3,Reference 4,,
"Laundry (Self-Service, Laundromat)",2,2,2,2,2,2,3,3,https://fashionista.com/2020/03/laundry-washing-clothes-coronavirus-covid19,https://www.coinlaundry.org/wp-content/uploads/2020/03/COVID-19-CLA-Safe-Laundering-Guidelines-March-2020.pdf,,,,
"More than One vs. One Team Sports (Soccer, Hockey, Football, Basketball, etc)",5,5,5,5,5,5,5,5,https://www.nycgovparks.org/about/health-and-safety-guide/coronavirus,https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-ihe-response.html,https://www1.nyc.gov/office-of-the-mayor/news/178-20/mayor-de-blasio-nypd-prepare-enforce-new-guidelines,,,
"One vs. One Team Sports (Soccer, Hockey, Football, Basketball, etc)",4,4,4,4,4,4,4,4,https://www.fairfaxcounty.gov/parks/coronavirus,https://www.nrpa.org/blog/coronavirus-what-impact-will-covid-19-have-on-parks-and-recreation/,,,,
Playgrounds,3,3,3,3,3,4,4,5,https://www.nycgovparks.org/about/health-and-safety-guide/coronavirus,https://www1.nyc.gov/office-of-the-mayor/news/178-20/mayor-de-blasio-nypd-prepare-enforce-new-guidelines,,,,
Public Park,2,2,2,2,2,2,2,2,https://www.nrpa.org/blog/keeping-a-safe-social-distance-in-parks-and-on-trails-during-the-covid-19-pandemic/,https://parks.ny.gov/covid19/,,,,
Pumping/Filling Gas,3,3,3,3,3,3,3,3,https://www.snopes.com/fact-check/covid19-gas-pump-handles/,https://www.consumerreports.org/cars-how-to-protect-yourself-against-coronavirus-when-pumping-gas/,,,,
Raw Produce,2,2,2,2,2,2,2,2,https://www.delish.com/food-news/a31820417/raw-fruits-vegetables-coronavirus/,https://msutoday.msu.edu/news/2020/msu-faculty-member-talks-about-food-safety-and-covid-19/,https://www.fdacs.gov/News-Events/Press-Releases/2020-Press-Releases/Coronavirus-Update-Guidance-on-COVID-19-Food-Safety-for-Consumers-Food-Establishments,,,
Receiving mail (paper),1,1,1,1,1,1,1,1,https://about.usps.com/newsroom/statements/usps-statement-on-coronavirus.htm,https://www.health.com/condition/infectious-diseases/coronavirus/can-the-coronavirus-spread-through-mail,,,,
Receiving packages (cardboard),1,1,1,1,1,1,1,1,https://about.usps.com/newsroom/statements/usps-statement-on-coronavirus.htm,https://www.health.com/condition/infectious-diseases/coronavirus/can-the-coronavirus-spread-through-mail,,,,
Running alone,1,1,1,1,1,1,1,1,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Running with a friend,3,2,2,3,3,3,4,4,https://www.nytimes.com/2020/03/19/well/move/coronavirus-covid-exercise-outdoors-infection-fitness.html,https://sf.gov/stay-home-except-essential-needs,https://www2.illinois.gov/sites/coronavirus/FAQ/Pages/Stay-At-Home-FAQS.aspx,,,
Running with more than one friend,3,3,3,3,3,3,3,3,,,,,,
Shopping (Bodega),2,2,2,2,2,2,2,2,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/,https://www.consumerreports.org/food-shopping/how-to-protect-yourself-from-coronavirus-when-grocery-shopping/,https://www.nytimes.com/2020/03/18/us/coronavirus-grocery-shopping.html,https://www.goodhousekeeping.com/health/a31747215/grocery-delivery-coronavirus/,https://www.theatlantic.com/family/archive/2020/03/coronavirus-what-does-social-distancing-mean/607927/,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/?utm_term=2020-03-24T18%3A05%3A06&utm_source=facebook&utm_content=edit-promo&utm_medium=social&utm_campaign=the-atlantic&fbclid=IwAR3ebe6Q420rRZpFUOJJbOos7W3-vEsiFHgb-edkdzl8N0OlB9Y8k3BP8T0
Shopping (General),2,2,2,2,2,2,2,2,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/,https://www.consumerreports.org/food-shopping/how-to-protect-yourself-from-coronavirus-when-grocery-shopping/,https://www.nytimes.com/2020/03/18/us/coronavirus-grocery-shopping.html,https://www.goodhousekeeping.com/health/a31747215/grocery-delivery-coronavirus/,https://www.theatlantic.com/family/archive/2020/03/coronavirus-what-does-social-distancing-mean/607927/,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/?utm_term=2020-03-24T18%3A05%3A06&utm_source=facebook&utm_content=edit-promo&utm_medium=social&utm_campaign=the-atlantic&fbclid=IwAR3ebe6Q420rRZpFUOJJbOos7W3-vEsiFHgb-edkdzl8N0OlB9Y8k3BP8T1
Shopping (Grocery store),2,2,2,2,2,2,2,2,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/,https://www.consumerreports.org/food-shopping/how-to-protect-yourself-from-coronavirus-when-grocery-shopping/,https://www.nytimes.com/2020/03/18/us/coronavirus-grocery-shopping.html,https://www.goodhousekeeping.com/health/a31747215/grocery-delivery-coronavirus/,https://www.theatlantic.com/family/archive/2020/03/coronavirus-what-does-social-distancing-mean/607927/,https://www.theatlantic.com/health/archive/2020/03/can-you-get-coronavirus-grocery-store/608659/?utm_term=2020-03-24T18%3A05%3A06&utm_source=facebook&utm_content=edit-promo&utm_medium=social&utm_campaign=the-atlantic&fbclid=IwAR3ebe6Q420rRZpFUOJJbOos7W3-vEsiFHgb-edkdzl8N0OlB9Y8k3BP8T2
